indid,indicator_name,dsid,region,period,value,source
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-16,374813103.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-17,377848902.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-18,387488870.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-19,392131066.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-22,393438256.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-23,404101197.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-24,418020687.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-25,423893869.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-30,424656645.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-07-01,425741632.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-07-14,426457565.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-07-17,426553732.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-07-21,436130805.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-07-23,436242672.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-08-05,436297138.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-08-11,437062165.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-08-13,438045772.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-08-17,439029379.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-08-20,440887302.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-03-18,925926.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-23,1143601.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-26,21081565.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-27,29584482.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-28,31269451.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-29,37150183.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-30,57277290.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-01,65555940.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-03,73804206.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-04,80133725.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-05,83673725.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-06,87479553.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-07,87553671.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-08,94316511.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-11,98325195.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-12,100506220.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-13,103445677.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-14,107801860.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-18,116731064.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-19,126088842.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-20,133469500.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-21,139982233.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-22,146545740.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-24,168362111.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-25,169362111.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-26,172742642.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-27,173140553.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-28,175145940.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-29,175410094.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-31,175423352.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-01,176608531.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-03,177705783.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-04,179220048.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-05,179776875.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-08,179944875.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-09,180930895.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-11,184298296.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-12,184601063.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-16,184651063.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-17,186188002.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-18,186844491.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.148,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Funding)",fts-nepal-earthquake-2015,WLD,2015-06-19,190942025.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
