Priority;Hard to Reach Access Methods;Shelter Cluster Hub;Last Update;District HLCIT  Code;VDC / Municipality HLCIT  Code;Implementing agency;Sourcing Agency;Local partner agency;District;VDC / Municipalities;Municipal Ward;Action type;Action description;Targeting;# Items / # Man-hours / NPR;Total Number Households;Average cost per households (NPR);Female headed households;Vulnerable Caste / Ethnicity households ;Activity Status;Start date;Completion Date;Additional Comments
Priority;No road access - possibly no helicopter landing sites;East;26/09/2015;524 2 05 23;524 2 05 23 5 057;ACTED;IOM-DFID;;Sindhupalchok;Gumba;Unknown;Shelter;Tarpaulin;All / Blanket;877;877;2200;;;Completed;11/05/2015;11/05/2015;
Priority;Truck access;East;26/09/2015;524 2 05 23;524 2 05 23 5 011;ACTED;UNHCR;;Sindhupalchok;Jethal;Unknown;Shelter;Tarpaulin;All / Blanket;133;133;2200;;;Completed;17/05/2015;17/05/2015;
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 029;ACTED;Shelterbox;;Sindhupalchok;Mangkha;9;Shelter;Tarpaulin;All / Blanket;658;329;4400;;;Completed;07/07/2015;07/07/2015;2 tarps/HH
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 029;ACTED;Internal;;Sindhupalchok;Mangkha;9;NFI;Blankets;All / Blanket;658;329;9660;;;Completed;07/07/2015;07/07/2015;2 blankets/HH
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 029;ACTED;Shelterbox;;Sindhupalchok;Mangkha;6;Shelter;Tarpaulin;All / Blanket;332;166;4400;;;Completed;08/07/2015;08/07/2015;2 tarps/HH
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 029;ACTED;Internal;;Sindhupalchok;Mangkha;6;NFI;Blankets;All / Blanket;332;166;9660;;;Completed;08/07/2015;08/07/2015;2 blankets/HH
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 029;ACTED;IOM-USAID;;Sindhupalchok;Mangkha;Unknown;Shelter;Tarpaulin;All / Blanket;1430;1430;2200;;;Completed;19/05/2015;19/05/2015;
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 029;ACTED;IOM-USAID;;Sindhupalchok;Mangkha;Unknown;Shelter;Tarpaulin;All / Blanket;570;570;2200;;;Completed;21/05/2015;21/05/2015;
Priority;;East;26/09/2015;524 2 05 23;524 2 05 23 5 010;ACTED;Shelterbox;;Sindhupalchok;Pedku;All;Shelter;Tarpaulin;All / Blanket;498;498;2200;;;Completed;05/08/2015;05/08/2015;
Priority;Truck access;East;26/09/2015;524 2 05 23;524 2 05 23 5 013;ACTED;Shelterbox;;Sindhupalchok;Tauthali;All;Shelter;Tarpaulin;All / Blanket;1495;1049;2200;;;Completed;06/08/2015;08/08/2015;
